R1,R2,R3,R4,R5,R6,R7,R8,R9,Hump,Time,SPARE 1,SPARE 2,SPARE 3,SPARE 4,SPARE 5,CLEA,MRN,EVL,EFIM,LIRC,LICL,INRD,RUS,TUSC,DTR,CIN,CIN,CBL,CBS,SEL,ANS,TOLS,WALM,SAUB,ESTR,LAF,BIR,NAS,INTM,INTP,NCR,BRO,PITS,ESAL,WIL,CHBR,MIIL,THT,THTB,ESUN,WAX,CHG,RLK,FFT,LEBN,SAUH,ESUK,LFNS,CRA,RAMP,PARA,HOLD,SPARE 6,SPARE 7,SPARE 8,SPARE 9,RIP,Pull 1,Pull 2,Pull 3,Pull 4,D1,D2,D3,D4,D5,D6,D7
,CHGITH (145),LI21 (73),NASITH (119),TOLITH (26),,,,,NASITH (119),4:45 AM,,,3ESUK,1BRO+NCR+PITS,,,4,,1,1,,2,5,1,4,1,,2,2,3,15,3,,4,6,12,1,,4,1,46(C),4(C),26(C),7,7,2,3,3,1,62(C),,1,2,6,,2,35(C),5,4,,,,,,,,,LO27,ITHESU,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
,CHGITH (145),LI21 (73),,TOLITH (26),,,,,LI21 (73),5:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
,CHGITH (145),LI21 (73),,TOLITH (26),,,,,LI21 (73),5:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
,CHGITH (145),LI21 (73),,TOLITH (26),,,,,LI21 (73),5:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
,CHGITH (145),LI21 (73),,TOLITH (26),,,,,LI21 (73),5:45 AM,,,,,,,,2,1,,,,2,,,8,,2,1,2,,3,,3,4,1,3,5,3,,10,,2,2,2,4,,,,1,3,2,1,,1,1,1,,2,1,,,,,,,,,,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
,CHGITH (145),WAXITH (73),RUSITH (95),TOLITH (26),,,,,TOLITH (26),6:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO76(Pull LEBN + FFT),Pull 3 from sp tk 3 to ESUK,,,LO29,ITHCHG,ITHESU,LO76(38),LO26,LO27,
,CHGITH (145),WAXITH (73),RUSITH (95),TOLITH (26),,,,,TOLITH (26),6:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO76,Pull 3 from sp tk 3 to ESUK,,,LO29,ITHCHG,ITHESU,LO76,LO26,LO27,
,CHGITH (145),WAXITH (73),RUSITH (95),TOLITH (26),,,,,TOLITH (26),6:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO76,Pull 3 from sp tk 3 to ESUK,,,LO29,ITHCHG,ITHESU,LO76,LO26,LO27,
,CHGITH (145),WAXITH (73),RUSITH (95),TOLITH (26),,,,,TOLITH (26),6:45 AM,,,3 ESUK(C),,,,,,,,1,,3,,,3,,1,,1,,,,1,1,1,1,1,1,,1,,,1,1,1,,,,,2,3,1,23(C),15(C),,3,,,1,,,,,,,,LO76,Pull 3 from sp tk 3 to ESUK,,,LO29,ITHCHG,ITHESU,LO76,LO26,LO27,
,CHGITH (145),WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,CHGITH (145),7:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHWIL(Pull MRN, WIL)",Pull 1 from sp tk 1 to CHG,Pull 2 from sp tk 2 to CHBR,,ITHWIL(95),,ITHESU,LO76,LO26,LO27,
,CHGITH (145),WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,CHGITH (145),7:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHWIL,Pull 1 from sp tk 1 to CHG,Pull 2 from sp tk 2 to CHBR,,ITHWIL,,ITHESU,LO76,LO26,LO27,
DTRITH (74),CHGITH (145),WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,CHGITH (145),7:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHWIL,Pull 1 from sp tk 1 to CHG,Pull 2 from sp tk 2 to CHBR,,ITHWIL,,ITHESU,LO76,,LO27,
DTRITH (74),CHGITH (145),WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,CHGITH (145),7:45 AM,1CHG(C),2CHBR(C),6MRN,2WIL,,2,25(C),2,1,2,,2,2,5,1,10,,4,5,4,3,5,5,7,4,4,9,9,1,2,7,2,2,2,70(C),2,3,4,,2,5,1,3,2,6,3,1,3,2,1,,,,,,,,ITHWIL,Pull 1 from sp tk 1 to CHG,Pull 2 from sp tk 2 to CHBR,,ITHWIL,,ITHESU,LO76,,LO27,
DTRITH (74),,WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,WAXITH (73),8:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 3 from sp tk 5 to SEL,,,,ITHWIL,,ITHESU,LO76,,LO27,
DTRITH (74),,WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,WAXITH (73),8:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 3 from sp tk 5 to SEL,,,,ITHWIL,,ITHESU,LO76,,LO27,
DTRITH (74),BIRITH (80),WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,WAXITH (73),8:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 3 from sp tk 5 to SEL,,,,ITHWIL,,,LO76,,LO27,
DTRITH (74),BIRITH (80),WAXITH (73),RUSITH (95),ESUITH (89),SELITH (82),,,,WAXITH (73),8:45 AM,,,,,3 SEL(C),,1,1,2,1,,1,,,4,2,,1,3,3,5,,,1,6,3,1,1,6,,1,,,5,2,4,1,,,14,,1,1,1,,,2,1,1,,,,,,,,,Pull 3 from sp tk 5 to SEL,,,,ITHWIL,,,LO76,,LO27,
DTRITH (74),BIRITH (80),,RUSITH (95),ESUITH (89),SELITH (82),SAUITH (96),,,RUSITH (95),9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO21(Pull MIIL + THTB + THT),Pull 6 from sp tk 3 to MRN,,,ITHWIL,LO21(63),,LO76,,,
DTRITH (74),BIRITH (80),,RUSITH (95),ESUITH (89),SELITH (82),SAUITH (96),,,RUSITH (95),9:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO21,Pull 6 from sp tk 3 to MRN,,,ITHWIL,LO21,,LO76,,,
DTRITH (74),BIRITH (80),,RUSITH (95),ESUITH (89),SELITH (82),SAUITH (96),CINITH (111),,RUSITH (95),9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO21,Pull 6 from sp tk 3 to MRN,,,ITHWIL,LO21,,LO76,,,
DTRITH (74),BIRITH (80),,RUSITH (95),ESUITH (89),SELITH (82),SAUITH (96),CINITH (111),,RUSITH (95),9:45 AM,,,6MRN(C),1MIIL+THT+THTB,,1,6,1,3,,1,4,,,2,6,,8,,1,11,2,,9,3,2,7,6,1,,2,,1,3,1,3,25(C),24(C),14(C),3,4,2,3,,,2,1,1,,,,,,,,,,LO21,Pull 6 from sp tk 3 to MRN,,,ITHWIL,LO21,,LO76,,,
DTRITH (74),BIRITH (80),,,ESUITH (89),SELITH (82),SAUITH (96),CINITH (111),,ESUITH (89),10:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHCBL(Pull ANS, CBL)",ITHCIN(Pull CIN),OLIR(Pull LIRC + LICL),,ITHWIL,LO21,OLIR(39),LO76,ITHCIN(123),,ITHCBL(104)
DTRITH (74),BIRITH (80),,,ESUITH (89),SELITH (82),SAUITH (96),CINITH (111),,ESUITH (89),10:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHCBL,ITHCIN,OLIR,,ITHWIL,LO21,OLIR,LO76,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,ESUITH (89),SELITH (82),SAUITH (96),CINITH (111),,ESUITH (89),10:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHCBL,ITHCIN,OLIR,,ITHWIL,LO21,OLIR,,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,ESUITH (89),SELITH (82),SAUITH (96),CINITH (111),,ESUITH (89),10:45 AM,6LIRC+LICL,9CIN,3CBL,,1ANS,,,1,,29(C),10(C),,1,,1,61(C),62(C),51(C),2,3,53(C),1,,,,1,6,15,6,3,2,,1,2,3,1,1,,1,,9,2,1,,1,,,,,1,3,,,,,,2,ITHCBL,ITHCIN,OLIR,,ITHWIL,LO21,OLIR,,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,,SELITH (82),SAUITH (96),CINITH (111),,SELITH (82),11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO21,OLIR,,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,,SELITH (82),SAUITH (96),CINITH (111),,SELITH (82),11:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO21,OLIR,,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,,SELITH (82),SAUITH (96),CINITH (111),,SELITH (82),11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO21,OLIR,,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,,SELITH (82),SAUITH (96),CINITH (111),,SELITH (82),11:45 AM,,,,,,,1,2,5,,1,1,2,3,5,3,,1,4,,1,2,,2,1,2,3,3,4,2,2,,2,2,2,4,1,1,,1,3,4,2,1,1,2,1,4,1,,,,,,,,,,,,,,LO21,OLIR,,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,DTRITH (74),12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHBIR(Pull BIR),ITHWAX(Pull WAX),,,ITHWAX(57),LO21,OLIR,ITHBIR(83),ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,DTRITH (74),12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHBIR,ITHWAX,,,ITHWAX,LO21,OLIR,ITHBIR,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,DTRITH (74),12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHBIR,ITHWAX,,,ITHWAX,LO21,OLIR,ITHBIR,ITHCIN,,ITHCBL
DTRITH (74),BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,DTRITH (74),12:45 PM,2 WAX,5 BIR,,,,2,,1,2,1,,1,1,,,,4,2,1,5,2,2,,1,5,1,83(C),7,2,,,1,1,7,2,1,2,,,1,57(C),2,2,,,6,1,,,,,,,,,,1,ITHBIR,ITHWAX,,,ITHWAX,LO21,OLIR,ITHBIR,ITHCIN,,ITHCBL
,BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,BIRITH (80),1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHTOL(Pull WALM + TOLS),Pull 2 from sp tk 1 to WAX,Pull 5 from sp tk 2 to CHBR BIR,,ITHWAX,,OLIR,ITHBIR,ITHCIN,ITHTOL(75),ITHCBL
,BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,BIRITH (80),1:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHTOL,Pull 2 from sp tk 1 to WAX,Pull 5 from sp tk 2 to CHBR BIR,,ITHWAX,,OLIR,ITHBIR,ITHCIN,ITHTOL,ITHCBL
,BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,BIRITH (80),1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHTOL,Pull 2 from sp tk 1 to WAX,Pull 5 from sp tk 2 to CHBR BIR,,ITHWAX,,OLIR,ITHBIR,ITHCIN,ITHTOL,ITHCBL
,BIRITH (80),,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,BIRITH (80),1:45 PM,2 WAX(C),5BIR(C),,,,,1,,2,1,,2,1,1,6,1,,3,2,1,3,62(C),13(C),3,5,11,5,1,2,1,,1,2,4,1,1,2,1,,6,2,1,2,3,1,1,2,1,1,2,,,1 TOLS 1 WALM,,,,,ITHTOL,Pull 2 from sp tk 1 to WAX,Pull 5 from sp tk 2 to CHBR BIR,,ITHWAX,,OLIR,ITHBIR,ITHCIN,ITHTOL,ITHCBL
WILITH (95),,,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,SAUITH (96),2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHSAU(Pull SAUH, SAUB)",,,,ITHWAX,ITHSAU(114),,ITHBIR,,ITHTOL,ITHCBL
WILITH (95),,,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,SAUITH (96),2:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHSAU,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,ITHCBL
WILITH (95),,,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,SAUITH (96),2:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHSAU,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,
WILITH (95),,,,LIRC (93),CBLITH (93),SAUITH (96),CINITH (111),,SAUITH (96),2:45 PM,,,,,,2,1,2,,3,1,1,7,,,,6,3,2,12,1,5,,77(C),1,2,2,,2,3,2,,2,,13,1,2,2,2,,2,7,2,,1,37(C),,,1,,2,1,,,,,,ITHSAU,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,
WILITH (95),LI29 (81),,,LIRC (93),CBLITH (93),,CINITH (111),,CINITH (111),3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 9 from sp tk 2 to CIN,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),,LIRC (93),CBLITH (93),,CINITH (111),,CINITH (111),3:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 9 from sp tk 2 to CIN,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),,LIRC (93),CBLITH (93),,CINITH (111),,CINITH (111),3:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 9 from sp tk 2 to CIN,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),,LIRC (93),CBLITH (93),,CINITH (111),,CINITH (111),3:45 PM,,9CIN(C),,,,,6,4,3,1,,4,1,2,2,,9,1,,1,6,2,,6,6,6,1,2,3,3,4,,2,72(C),3,1,2,1,6,5,1,1,2,5,1,6,2,1,3,,,,4 ESAL,,,,1,Pull 9 from sp tk 2 to CIN,,,,ITHWAX,ITHSAU,,ITHBIR,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),CBLITH (93),,,,CBLITH (93),4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHALS(Pull ESAL),Pull 6 from sp tk 1 to LIRC+LICL,Pull 3 from sp tk 3 to CBL,Pull 1 from sp tk 4 to MIL+THT+THTB,,ITHSAU,ITHALS(72),,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),CBLITH (93),,CBLITHB (96),,CBLITH (93),4:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHALS,Pull 6 from sp tk 1 to LIRC+LICL,Pull 3 from sp tk 3 to CBL,Pull 1 from sp tk 4 to MIL+THT+THTB,,ITHSAU,ITHALS,,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),CBLITH (93),,CBLITHB (96),ALSITH (54),CBLITH (93),4:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHALS,Pull 6 from sp tk 1 to LIRC+LICL,Pull 3 from sp tk 3 to CBL,Pull 1 from sp tk 4 to MIL+THT+THTB,,ITHSAU,ITHALS,,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),CBLITH (93),,CBLITHB (96),ALSITH (54),CBLITH (93),4:45 PM,6LIRC+LICL(C),,3CBL(C),1MIIL+THT+THTB(C),,2,,1,3,4,2,2,2,,2,,10,3,16,2,,2,,2,2,3,8,3,3,,2,,,3,3,10,,1,,2,4,4,,1,,,1,,,,,,,,,,,ITHALS,Pull 6 from sp tk 1 to LIRC+LICL,Pull 3 from sp tk 3 to CBL,Pull 1 from sp tk 4 to MIL+THT+THTB,,ITHSAU,ITHALS,,,ITHTOL,
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),,,CBLITHB (96),ALSITH (54),LIRC (93),5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHCBLB(Pull ANS, CBL, RAMP)",Pull 2 from sp tk 4 to WIL,,,,ITHSAU,ITHALS,,,,ITHCBLB(38)
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),,,CBLITHB (96),ALSITH (54),LIRC (93),5:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHCBLB,Pull 2 from sp tk 4 to WIL,,,,ITHSAU,ITHALS,,,,ITHCBLB
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),,,CBLITHB (96),ALSITH (54),LIRC (93),5:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHCBLB,Pull 2 from sp tk 4 to WIL,,,,ITHSAU,ITHALS,,,,ITHCBLB
